"Mod ID","Mod name","Mod version"
"org_quiltmc_parsers_json","json","0.2.1"
"org_reflections_reflections","reflections","0.10.2"
"org_threadly_threadly","threadly","7.0"
"overflowingbars","Overflowing Bars","8.0.1"
"owo","oωo","0.11.2+1.20"
"packet_tweaker","Packet Tweaker","0.4.0+1.19.4"
"palladiumcore","PalladiumCore","1.20-2.0.0.0"
"particlerain","Particle Rain","4.0.0-beta.10"
"passablefoliage","Passable Foliage","1.20.1-fabric-8.2.1"
"placeholder-api","Placeholder API","2.1.4+1.20.1"
"player-animator","Player Animator","1.0.2-rc1+1.20"
"polymer-blocks","Polymer (Textured Blocks)","0.5.20+1.20.1"
"polymer-bundled","Polymer","0.5.20+1.20.1"
"polymer-common","Polymer (Common)","0.5.20+1.20.1"
"polymer-core","Polymer (Core)","0.5.20+1.20.1"
"polymer-networking","Polymer (Networking)","0.5.20+1.20.1"
"polymer-registry-sync-manipulator","Polymer (Registry Sync Manipulator)","0.5.20+1.20.1"
"polymer-resource-pack","Polymer (Resource Pack)","0.5.20+1.20.1"
"polymer-virtual-entity","Polymer (Virtual Entity)","0.5.20+1.20.1"
"porting_lib_accessors","Porting Lib Accessors","2.3.8+1.20.1"
"porting_lib_attributes","Porting Lib Attributes","2.3.8+1.20.1"
"porting_lib_base","Porting Lib Base","2.3.8+1.20.1"
"porting_lib_blocks","Porting Lib Blocks","2.3.4+1.20.1"
"porting_lib_common","Porting Lib Common","2.3.8+1.20.1"
"porting_lib_config","Porting Lib Config","2.3.8+1.20.1"
"porting_lib_core","Porting Lib Core","2.3.8+1.20.1"
"porting_lib_data","Porting Lib Data","2.3.4+1.20.1"
"porting_lib_entity","Porting Lib Entity","2.3.8+1.20.1"
"porting_lib_extensions","Porting Lib Extensions","2.3.8+1.20.1"
"porting_lib_fluids","Porting Lib Fluids","2.3.8+1.20.1"
"porting_lib_gui_utils","Porting Lib Gui Utils","2.3.8+1.20.1"
"porting_lib_items","Porting Lib Items","2.3.4+1.20.1"
"porting_lib_lazy_registration","Porting Lib Lazy Register","2.3.8+1.20.1"
"porting_lib_loot","Porting Lib Loot","2.3.8+1.20.1"
"porting_lib_mixin_extensions","Porting Lib Mixin Extensions","2.3.8+1.20.1"
"porting_lib_model_generators","Porting Lib Model Generators","2.3.4+1.20.1"
"porting_lib_model_loader","Porting Lib Model Loader","2.3.4+1.20.1"
"porting_lib_model_materials","Porting Lib Model Materials","2.3.4+1.20.1"
"porting_lib_models","Porting Lib Models","2.3.4+1.20.1"
"porting_lib_networking","Porting Lib Networking","2.3.8+1.20.1"
"porting_lib_recipe_book_categories","Porting Lib Recipe Book Categories","2.3.8+1.20.1"
"porting_lib_tags","Porting Lib Tags","3.0"
"porting_lib_tool_actions","Porting Lib Tool Actions","2.3.8+1.20.1"
"porting_lib_transfer","Porting Lib Transfer","2.3.8+1.20.1"
"porting_lib_utility","Porting Lib Utility","2.3.8+1.20.1"
"powah","Powah!","5.0.11"
"predicate-api","Predicate API","0.2.1+1.20.1"
"presencefootsteps","Presence Footsteps","1.10.1+1.20.1"
"pride","Pride Lib","1.2.0+1.19.4"
"prism","Prism","1.0.5"
"puzzlesaccessapi","Puzzles Access Api","20.1.1"
"puzzleslib","Puzzles Lib","8.1.33"
"reach-entity-attributes","Reach Entity Attributes","2.4.0"
"reeses-sodium-options","Reese's Sodium Options","1.7.2+mc1.20.1-build.101"
"resourcefulblocksounds","Resourceful Block Sounds","1.0.0"
"resourcefulconfig","Resourcefulconfig","2.1.3"
"resourcefullib","Resourceful Lib","2.1.29"
"ribbits","Ribbits","1.20.1-Fabric-3.0.5"
"runes","Runes","0.9.13+1.20.1"
"satin","Satin","1.14.0"
"searchables","Searchables","1.0.3"
"seasonal_lets_do","Seasonal Let's Do","1.3.0+1.20.1"
"serene_shrubbery","Serene Shrubbery","1.0.0"
"sereneseasons","SereneSeasons","9.1.0.2"
"sereneseasonsplus","Serene Seasons Plus","0.5.0.0"
"server_translations_api","Server Translations API","2.0.0+1.20"
"sgui","sgui","1.2.2+1.20"
"shetiphiancore","ShetiPhianCore","1.20.1-1.4"
"shield_overhaul","Shield Overhaul","2.0.4"
"silk-all","Silk (All modules)","1.10.1"
"silk-commands","Silk Commands","1.10.1"
"silk-core","Silk Core","1.10.1"
"silk-game","Silk Game","1.10.1"
"silk-igui","Silk Inventory GUI","1.10.1"
"silk-nbt","Silk NBT","1.10.1"
"silk-network","Silk Network","1.10.1"
"silk-persistence","Silk Persistence","1.10.1"
"simple_copper_pipes","Simple Copper Pipes","2.0.3"
"simplyswords","Simply Swords","1.56.0-1.20.1"
"skinlayers3d","3d-Skin-Layers","1.11.1"
"smallships","Small Ships","2.0.0-b1.4"
"smarterfarmers","Smarter Farmers","1.20-2.1.2"
"sodium","Sodium","0.5.13+mc1.20.1"
"sodium-extra","Sodium Extra","0.5.9+mc1.20.1"
"sootychimneys","Sooty Chimneys for Fabric","1.1.0"
